CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2012,vouchers2013,vouchers2014,vouchers2015
9,5,Staten Island,000900,5000900,I,SI22,West New Brighton-New Brighton-St. George,3903,7729.016729,2497009.69934,36085000900,39,31,32,31
125,5,Staten Island,012500,5012500,I,SI22,West New Brighton-New Brighton-St. George,3903,10582.85553,4954936.23796,36085012500,19,17,20,18
133.01,5,Staten Island,013301,5013301,E,SI22,West New Brighton-New Brighton-St. George,3903,3428.312676,721784.662189,36085013301,1,1,1,1
197,5,Staten Island,019700,5019700,I,SI07,Westerleigh,3903,9097.697231,3231720.01238,36085019700,-1,-1,,
64,5,Staten Island,006400,5006400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12726.360449,7643183.68232,36085006400,5,4,2,2
74,5,Staten Island,007400,5007400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,9902.948471,5788237.87106,36085007400,30,19,20,17
22.02,1,Manhattan,002202,1002202,I,MN28,Lower East Side,3809,3817.391631,603922.275649,36061002202,24,23,20,18
32,1,Manhattan,003200,1003200,I,MN22,East Village,3809,6358.386684,2334190.23228,36061003200,50,36,35,35
68,1,Manhattan,006800,1006800,I,MN21,Gramercy,3808,5723.883037,1877943.25272,36061006800,265,280,259,271
89,1,Manhattan,008900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769499,1782278.50665,36061008900,1,1,1,1
96,1,Manhattan,009600,1009600,E,MN17,Midtown-Midtown South,3807,5737.356247,1887288.40108,36061009600,-1,-1,,
98,1,Manhattan,009800,1009800,I,MN19,Turtle Bay-East Midtown,3808,5534.199811,1906016.35002,36061009800,1,3,1,1
100,1,Manhattan,010000,1010000,I,MN19,Turtle Bay-East Midtown,3808,5692.168488,1860938.37794,36061010000,-1,-1,,
102,1,Manhattan,010200,1010200,I,MN17,Midtown-Midtown South,3807,5687.802579,1860992.5363,36061010200,-1,2,,
104,1,Manhattan,010400,1010400,I,MN17,Midtown-Midtown South,3807,5693.036118,1864600.35091,36061010400,-1,-1,,
112.01,1,Manhattan,011201,1011201,I,MN17,Midtown-Midtown South,3807,3716.146785,856164.356123,36061011201,1,-1,,1
112.02,1,Manhattan,011202,1011202,I,MN17,Midtown-Midtown South,3807,3688.762328,839525.781464,36061011202,-1,1,,
112.03,1,Manhattan,011203,1011203,I,MN19,Turtle Bay-East Midtown,3808,3701.173031,854082.515426,36061011203,-1,-1,,
113,1,Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,3807,5699.860641,1890907.33104,36061011300,2,4,1,4
114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.2561,1063547.40503,36061011402,1,2,1,
130,1,Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956,1918144.54035,36061013000,1,2,1,1
140,1,Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.22252,36061014000,1,-1,,
146.01,1,Manhattan,014601,1014601,I,MN32,Yorkville,3805,4016.133393,799879.908512,36061014601,-1,-1,,
146.02,1,Manhattan,014602,1014602,I,MN32,Yorkville,3805,4528.695483,1175338.61171,36061014602,25,18,23,22
148.01,1,Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951423,559216.157816,36061014801,-1,-1,,
148.02,1,Manhattan,014802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.029341,1351364.99046,36061014802,-1,-1,,
153,1,Manhattan,015300,1015300,I,MN14,Lincoln Square,3806,5674.292342,1872392.7053,36061015300,25,23,23,
154,1,Manhattan,015400,1015400,I,MN32,Yorkville,3805,5536.958004,1909222.23423,36061015400,359,343,323,311
156.01,1,Manhattan,015601,1015601,I,MN32,Yorkville,3805,4004.82447,791912.508405,36061015601,28,42,39,36
156.02,1,Manhattan,015602,1015602,E,MN33,East Harlem South,3804,4524.706934,1169934.51084,36061015602,11,13,23,12
160.01,1,Manhattan,016001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.507096,1351864.83532,36061016001,-1,1,2,2
184,1,Manhattan,018400,1018400,E,MN34,East Harlem North,3804,5771.874347,1903568.32101,36061018400,80,86,88,96
190,1,Manhattan,019000,1019000,I,MN11,Central Harlem South,3803,4231.827159,1117371.72802,36061019000,40,38,114,113
201.01,1,Manhattan,020101,1020101,I,MN09,Morningside Heights,3802,3329.881695,593526.657572,36061020101,-1,-1,,
201.02,1,Manhattan,020102,1020102,E,MN11,Central Harlem South,3803,3745.871035,897067.882726,36061020102,53,52,52,50
206,1,Manhattan,020600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.873151,1602693.80227,36061020600,82,89,86,77
218,1,Manhattan,021800,1021800,E,MN11,Central Harlem South,3803,5775.546074,1958240.31165,36061021800,126,152,142,125
220,1,Manhattan,022000,1022000,E,MN11,Central Harlem South,3803,5691.514036,1882932.86038,36061022000,107,94,92,95
229,1,Manhattan,022900,1022900,E,MN04,Hamilton Heights,3802,7284.207936,2186714.27415,36061022900,195,554,915,875
234,1,Manhattan,023400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803,5656.092134,1164816.98101,36061023400,101,114,83,108
239,1,Manhattan,023900,1023900,E,MN36,Washington Heights South,3801,3635.962134,687269.036218,36061023900,97,97,88,87
249,1,Manhattan,024900,1024900,E,MN36,Washington Heights South,3801,3927.821475,652856.308287,36061024900,31,29,25,30
253,1,Manhattan,025300,1025300,E,MN36,Washington Heights South,3801,5651.317584,1822960.36207,36061025300,337,324,317,308
257,1,Manhattan,025700,1025700,E,MN11,Central Harlem South,3803,6060.119375,1550590.16396,36061025700,69,68,68,73
261,1,Manhattan,026100,1026100,E,MN36,Washington Heights South,3801,5532.1001,1681539.12174,36061026100,403,385,377,373
263,1,Manhattan,026300,1026300,E,MN36,Washington Heights South,3801,5730.541687,1691892.07635,36061026300,372,349,335,326
267,1,Manhattan,026700,1026700,E,MN35,Washington Heights North,3801,3869.447222,518771.594333,36061026700,22,3,19,17
269,1,Manhattan,026900,1026900,E,MN35,Washington Heights North,3801,6017.036711,1889655.6225,36061026900,299,297,289,282
277,1,Manhattan,027700,1027700,E,MN35,Washington Heights North,3801,5903.152134,1760155.94209,36061027700,239,241,257,254
5.01,3,Brooklyn,000501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004,4828.170042,901506.992481,36047000501,-1,1,,
20,3,Brooklyn,002000,3002000,E,BK32,Sunset Park West,4012,5426.067279,1620770.16274,36047002000,13,12,14,16
41,3,Brooklyn,004100,3004100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5283.85666,1744094.3952,36047004100,2,2,2,2
52.01,3,Brooklyn,005201,3005201,E,BK31,Bay Ridge,4013,5520.047898,1448244.16819,36047005201,-1,-1,,
52.02,3,Brooklyn,005202,3005202,I,BK31,Bay Ridge,4013,5190.713908,1398134.48416,36047005202,-1,-1,,
58,3,Brooklyn,005800,3005800,E,BK31,Bay Ridge,4013,6098.167799,2080303.3141,36047005800,29,29,28,26
60,3,Brooklyn,006000,3006000,I,BK31,Bay Ridge,4013,5498.334387,1639073.92632,36047006000,4,4,5,5
65,3,Brooklyn,006500,3006500,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,7861.136622,2685633.61509,36047006500,2,2,2,2
67,3,Brooklyn,006700,3006700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5236.047804,1680804.29592,36047006700,-1,-1,,
69,3,Brooklyn,006900,3006900,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5563.971321,1927677.55339,36047006900,4,4,4,4
74,3,Brooklyn,007400,3007400,E,BK32,Sunset Park West,4012,4994.563886,1516613.03139,36047007400,31,27,24,24
76,3,Brooklyn,007600,3007600,E,BK32,Sunset Park West,4012,4980.047514,1510401.67828,36047007600,17,18,18,18
78,3,Brooklyn,007800,3007800,E,BK32,Sunset Park West,4012,4986.671595,1509791.98953,36047007800,74,68,65,62
80,3,Brooklyn,008000,3008000,E,BK32,Sunset Park West,4012,4989.723103,1506326.48527,36047008000,36,36,35,33
98,3,Brooklyn,009800,3009800,E,BK34,Sunset Park East,4012,5203.979585,1625498.65245,36047009800,77,73,72,67
101,3,Brooklyn,010100,3010100,E,BK32,Sunset Park West,4012,7585.52914,3393635.74682,36047010100,17,16,14,12
102,3,Brooklyn,010200,3010200,E,BK34,Sunset Park East,4012,5223.378481,1640687.83875,36047010200,27,25,22,23
104,3,Brooklyn,010400,3010400,E,BK34,Sunset Park East,4012,5221.791692,1639390.92125,36047010400,15,13,13,13
108,3,Brooklyn,010800,3010800,E,BK34,Sunset Park East,4012,5203.5166,1624849.98804,36047010800,20,18,18,17
110,3,Brooklyn,011000,3011000,E,BK34,Sunset Park East,4012,5365.03648,1699091.86361,36047011000,15,16,14,13
114,3,Brooklyn,011400,3011400,E,BK88,Borough Park,4014,5462.281937,1806159.31396,36047011400,100,88,91,89
121,3,Brooklyn,012100,3012100,I,BK37,Park Slope-Gowanus,4005,5142.255433,1593259.40713,36047012100,2,1,1,1
128.01,3,Brooklyn,012801,3012801,I,BK30,Dyker Heights,4013,4828.983916,1238338.68743,36047012801,11,11,10,8
130,3,Brooklyn,013000,3013000,E,BK31,Bay Ridge,4013,5648.236506,1899181.55643,36047013000,16,15,15,15
132,3,Brooklyn,013200,3013200,E,BK30,Dyker Heights,4013,6369.334993,1665114.51858,36047013200,19,19,21,21
133,3,Brooklyn,013300,3013300,I,BK37,Park Slope-Gowanus,4005,5175.703509,1596011.27323,36047013300,15,15,14,13
136,3,Brooklyn,013600,3013600,I,BK31,Bay Ridge,4013,8233.665277,2322222.35656,36047013600,7,6,6,5
137,3,Brooklyn,013700,3013700,I,BK37,Park Slope-Gowanus,4005,5226.631819,1638366.13973,36047013700,4,4,4,1
139,3,Brooklyn,013900,3013900,E,BK37,Park Slope-Gowanus,4005,5219.680479,1631336.53274,36047013900,8,7,8,5
151,3,Brooklyn,015100,3015100,I,BK37,Park Slope-Gowanus,4005,5175.221646,1607114.12638,36047015100,3,3,3,2
153,3,Brooklyn,015300,3015300,I,BK37,Park Slope-Gowanus,4005,5188.381441,1619490.31828,36047015300,-1,-1,,
155,3,Brooklyn,015500,3015500,I,BK37,Park Slope-Gowanus,4005,5181.351516,1610814.53019,36047015500,-1,-1,,
157,3,Brooklyn,015700,3015700,I,BK37,Park Slope-Gowanus,4005,5427.704575,1802056.04722,36047015700,2,2,1,1
165,3,Brooklyn,016500,3016500,I,BK37,Park Slope-Gowanus,4005,6727.004994,2006987.78207,36047016500,1,1,1,1
170,3,Brooklyn,017000,3017000,I,BK27,Bath Beach,4017,7327.426867,2249706.40066,36047017000,1,-1,,1
172,3,Brooklyn,017200,3017200,E,BK27,Bath Beach,4017,7259.321387,2220321.63464,36047017200,4,4,4,3
178,3,Brooklyn,017800,3017800,E,BK27,Bath Beach,4017,6092.042689,1765217.21133,36047017800,12,10,11,13
182,3,Brooklyn,018200,3018200,E,BK28,Bensonhurst West,4017,5730.247189,1781130.5468,36047018200,13,12,13,12
184,3,Brooklyn,018400,3018400,E,BK28,Bensonhurst West,4017,5157.913005,1605281.57652,36047018400,3,3,3,3
186,3,Brooklyn,018600,3018600,I,BK28,Bensonhurst West,4017,4679.729979,1216850.53192,36047018600,5,5,6,6
188,3,Brooklyn,018800,3018800,I,BK28,Bensonhurst West,4017,5864.289707,1885932.63173,36047018800,7,6,4,4
190,3,Brooklyn,019000,3019000,E,BK28,Bensonhurst West,4017,6614.318963,2291793.6054,36047019000,23,21,21,19
192,3,Brooklyn,019200,3019200,E,BK88,Borough Park,4014,5880.317176,2042946.47386,36047019200,54,51,56,55
194,3,Brooklyn,019400,3019400,E,BK30,Dyker Heights,4013,6220.292663,1920211.75546,36047019400,5,6,6,6
195,3,Brooklyn,019500,3019500,E,BK69,Clinton Hill,4004,4887.717107,1475082.70783,36047019500,3,3,3,2
196,3,Brooklyn,019600,3019600,E,BK30,Dyker Heights,4013,5718.167634,2027285.92177,36047019600,21,20,21,21
197,3,Brooklyn,019700,3019700,I,BK69,Clinton Hill,4004,6148.341529,1828072.20608,36047019700,2,2,3,1
198,3,Brooklyn,019800,3019800,E,BK30,Dyker Heights,4013,5279.397046,1450201.49676,36047019800,2,4,3,3
204,3,Brooklyn,020400,3020400,I,BK30,Dyker Heights,4013,5280.338322,1450945.78399,36047020400,1,1,1,1
208,3,Brooklyn,020800,3020800,I,BK30,Dyker Heights,4013,5945.305485,1542688.99694,36047020800,10,9,8,6
210,3,Brooklyn,021000,3021000,E,BK30,Dyker Heights,4013,5710.82802,1614539.93249,36047021000,20,17,18,17
212,3,Brooklyn,021200,3021200,E,BK30,Dyker Heights,4013,5986.105228,2054324.46666,36047021200,16,18,17,15
214,3,Brooklyn,021400,3021400,E,BK88,Borough Park,4014,5551.994241,1808036.31237,36047021400,27,27,27,27
219,3,Brooklyn,021900,3021900,E,BK61,Crown Heights North,4006,5031.288126,1582742.16433,36047021900,41,33,29,22
220,3,Brooklyn,022000,3022000,E,BK88,Borough Park,4014,6117.0823,2091173.16068,36047022000,170,168,159,155
221,3,Brooklyn,022100,3022100,E,BK61,Crown Heights North,4006,5511.964693,1617936.88124,36047022100,45,47,44,40
222,3,Brooklyn,022200,3022200,E,BK88,Borough Park,4014,5742.179476,1896474.05051,36047022200,204,201,199,204
227,3,Brooklyn,022700,3022700,E,BK69,Clinton Hill,4004,6861.719709,2588318.21641,36047022700,41,40,36,34
229,3,Brooklyn,022900,3022900,E,BK69,Clinton Hill,4004,5440.76449,1849568.40401,36047022900,58,60,59,56
231,3,Brooklyn,023100,3023100,I,BK69,Clinton Hill,4004,5908.873251,1716029.90712,36047023100,27,24,20,21
235,3,Brooklyn,023500,3023500,E,BK69,Clinton Hill,4004,4958.034954,1523725.76704,36047023500,131,131,137,142
236,3,Brooklyn,023600,3023600,E,BK88,Borough Park,4014,6242.981077,1828207.77662,36047023600,187,178,177,178
238,3,Brooklyn,023800,3023800,E,BK88,Borough Park,4014,6244.556731,1828765.82178,36047023800,162,158,163,164
240,3,Brooklyn,024000,3024000,E,BK88,Borough Park,4014,6240.45935,1827206.39305,36047024000,160,152,146,141
242,3,Brooklyn,024200,3024200,E,BK88,Borough Park,4014,6964.549393,2061125.04683,36047024200,49,52,56,52
245,3,Brooklyn,024500,3024500,E,BK75,Bedford,4003,5582.222563,1795931.61813,36047024500,37,34,29,26
246,3,Brooklyn,024600,3024600,E,BK88,Borough Park,4014,6796.313336,1845582.93498,36047024600,21,19,22,21
247,3,Brooklyn,024700,3024700,E,BK61,Crown Heights North,4006,7488.70173,2028330.42548,36047024700,24,30,28,25
248,3,Brooklyn,024800,3024800,E,BK28,Bensonhurst West,4017,6417.483306,1895137.51903,36047024800,12,11,12,11
249,3,Brooklyn,024900,3024900,E,BK75,Bedford,4003,5777.655193,1813352.67282,36047024900,42,38,30,33
250,3,Brooklyn,025000,3025000,E,BK28,Bensonhurst West,4017,5938.202539,1867289.95274,36047025000,11,11,8,8
252,3,Brooklyn,025200,3025200,E,BK28,Bensonhurst West,4017,6686.606727,1950979.09526,36047025200,87,90,86,81
254,3,Brooklyn,025400,3025400,E,BK28,Bensonhurst West,4017,6302.394681,1888611.58176,36047025400,19,20,21,18
256,3,Brooklyn,025600,3025600,E,BK28,Bensonhurst West,4017,6298.065461,1869263.07038,36047025600,12,12,11,9
258,3,Brooklyn,025800,3025800,E,BK28,Bensonhurst West,4017,6257.55432,1832115.62479,36047025800,58,53,50,47
260,3,Brooklyn,026000,3026000,E,BK28,Bensonhurst West,4017,5699.189185,1753286.17156,36047026000,10,7,7,7
262,3,Brooklyn,026200,3026200,I,BK28,Bensonhurst West,4017,5384.768035,1699503.05751,36047026200,5,5,5,4
263,3,Brooklyn,026300,3026300,E,BK75,Bedford,4003,4799.556849,1287405.97132,36047026300,25,16,26,23
264,3,Brooklyn,026400,3026400,E,BK28,Bensonhurst West,4017,7095.086067,2038976.30375,36047026400,29,27,26,26
266,3,Brooklyn,026600,3026600,I,BK28,Bensonhurst West,4017,7706.999647,1785503.08642,36047026600,38,37,36,34
267,3,Brooklyn,026700,3026700,I,BK75,Bedford,4003,5340.244066,1717367.87727,36047026700,61,57,56,49
268,3,Brooklyn,026800,3026800,E,BK28,Bensonhurst West,4017,6339.144273,1926489.20442,36047026800,70,68,66,64
269,3,Brooklyn,026900,3026900,E,BK75,Bedford,4003,5051.018932,1441848.77189,36047026900,42,39,34,25
270,3,Brooklyn,027000,3027000,E,BK28,Bensonhurst West,4017,5255.801029,1444005.64325,36047027000,54,50,49,47
271,3,Brooklyn,027100,3027100,E,BK61,Crown Heights North,4006,9484.867868,2767038.92688,36047027100,115,109,171,178
272,3,Brooklyn,027200,3027200,E,BK28,Bensonhurst West,4017,7299.797655,1422363.4287,36047027200,110,106,105,100
273,3,Brooklyn,027300,3027300,I,BK35,Stuyvesant Heights,4003,5273.313701,1611451.00502,36047027300,15,9,10,3
274,3,Brooklyn,027400,3027400,E,BK28,Bensonhurst West,4017,6175.275942,1758627.06977,36047027400,19,19,17,13
276,3,Brooklyn,027600,3027600,E,BK28,Bensonhurst West,4017,6258.678985,1607862.58044,36047027600,50,48,48,47
278,3,Brooklyn,027800,3027800,E,BK28,Bensonhurst West,4017,6104.407843,1727742.07748,36047027800,41,40,40,39
279,3,Brooklyn,027900,3027900,E,BK35,Stuyvesant Heights,4003,5389.745821,1743087.9778,36047027900,96,70,80,67
284,3,Brooklyn,028400,3028400,E,BK28,Bensonhurst West,4017,6096.044706,1768012.32699,36047028400,60,59,59,57
285.01,3,Brooklyn,028501,3028501,I,BK78,Bushwick South,4002,4167.689616,895739.749184,36047028501,2,2,2,2
288,3,Brooklyn,028800,3028800,E,BK28,Bensonhurst West,4017,5777.687908,1644934.10091,36047028800,50,49,42,42
290,3,Brooklyn,029000,3029000,E,BK28,Bensonhurst West,4017,5799.041489,1665073.43239,36047029000,124,130,125,100
291,3,Brooklyn,029100,3029100,E,BK35,Stuyvesant Heights,4003,5439.939153,1772059.65213,36047029100,81,71,62,53
293,3,Brooklyn,029300,3029300,E,BK35,Stuyvesant Heights,4003,5437.785217,1770060.57626,36047029300,56,45,80,75
296,3,Brooklyn,029600,3029600,E,BK28,Bensonhurst West,4017,7396.971342,2300496.6561,36047029600,102,101,96,101
297,3,Brooklyn,029700,3029700,I,BK61,Crown Heights North,4006,5858.602491,2212767.94186,36047029700,244,253,256,245
298,3,Brooklyn,029800,3029800,E,BK29,Bensonhurst East,4017,7431.077921,2379873.99805,36047029800,24,22,20,20
300,3,Brooklyn,030000,3030000,E,BK29,Bensonhurst East,4017,7243.131793,2099451.00771,36047030000,14,16,17,23
302,3,Brooklyn,030200,3030200,E,BK29,Bensonhurst East,4017,6921.914365,2273119.70294,36047030200,4,3,3,3
305,3,Brooklyn,030500,3030500,E,BK61,Crown Heights North,4006,7369.206067,3474329.2756,36047030500,82,86,84,79
309,3,Brooklyn,030900,3030900,E,BK61,Crown Heights North,4006,5470.581443,1587377.38042,36047030900,18,20,20,15
317.01,3,Brooklyn,031701,3031701,E,BK61,Crown Heights North,4006,5033.486008,1504293.97009,36047031701,68,61,61,55
323,3,Brooklyn,032300,3032300,E,BK63,Crown Heights South,4011,6269.420677,1862860.63114,36047032300,15,15,13,14
326,3,Brooklyn,032600,3032600,E,BK21,Seagate-Coney Island,4018,7873.196646,3542642.3816,36047032600,523,520,539,318
329,3,Brooklyn,032900,3032900,E,BK60,Prospect Lefferts Gardens-Wingate,4011,7138.852587,1683542.51814,36047032900,56,56,52,53
331,3,Brooklyn,033100,3033100,E,BK63,Crown Heights South,4011,7551.857278,1533546.73748,36047033100,32,27,26,24
333,3,Brooklyn,033300,3033300,E,BK63,Crown Heights South,4011,7463.479724,2005662.98993,36047033300,46,42,42,42
335,3,Brooklyn,033500,3033500,E,BK63,Crown Heights South,4011,7422.437709,1944377.33029,36047033500,12,9,10,7
337,3,Brooklyn,033700,3033700,E,BK61,Crown Heights North,4006,7545.478656,2126882.31347,36047033700,18,19,18,16
339,3,Brooklyn,033900,3033900,E,BK61,Crown Heights North,4006,7419.803724,1945657.7449,36047033900,166,167,168,165
341,3,Brooklyn,034100,3034100,E,BK61,Crown Heights North,4006,5030.776599,1504308.07143,36047034100,57,49,46,43
342,3,Brooklyn,034200,3034200,E,BK21,Seagate-Coney Island,4018,7381.417191,2475181.54176,36047034200,593,684,608,616
363,3,Brooklyn,036300,3036300,E,BK79,Ocean Hill,4007,8445.466805,2785736.30739,36047036300,212,205,211,199
365.02,3,Brooklyn,036502,3036502,E,BK79,Ocean Hill,4007,6132.196174,1252061.64536,36047036502,49,57,63,55
388,3,Brooklyn,038800,3038800,E,BK25,Homecrest,4016,5947.056737,2130565.92483,36047038800,51,36,34,34
396,3,Brooklyn,039600,3039600,I,BK25,Homecrest,4016,5569.960507,1757819.54592,36047039600,2,1,7,9
397,3,Brooklyn,039700,3039700,E,BK78,Bushwick South,4002,6560.681694,1712820.27346,36047039700,97,84,72,61
399,3,Brooklyn,039900,3039900,E,BK78,Bushwick South,4002,6391.348879,1627809.30279,36047039900,129,116,101,95
401,3,Brooklyn,040100,3040100,E,BK78,Bushwick South,4002,5246.300165,1718318.93365,36047040100,93,84,70,58
404,3,Brooklyn,040400,3040400,I,BK29,Bensonhurst East,4017,7953.541649,1653839.79122,36047040400,18,21,9,9
406,3,Brooklyn,040600,3040600,E,BK29,Bensonhurst East,4017,5548.54636,1582378.66617,36047040600,59,56,12,10
408,3,Brooklyn,040800,3040800,E,BK29,Bensonhurst East,4017,5629.302552,1654268.74397,36047040800,65,70,8,6
413,3,Brooklyn,041300,3041300,E,BK78,Bushwick South,4002,5284.902881,1745183.02406,36047041300,77,75,65,58
414.01,3,Brooklyn,041401,3041401,E,BK25,Homecrest,4016,5189.96885,1454192.39647,36047041401,10,21,,
415,3,Brooklyn,041500,3041500,E,BK78,Bushwick South,4002,5326.724602,1750287.79067,36047041500,93,81,75,73
417,3,Brooklyn,041700,3041700,E,BK78,Bushwick South,4002,5025.01525,1519400.53544,36047041700,102,101,100,95
418,3,Brooklyn,041800,3041800,E,BK25,Homecrest,4016,6582.865969,1773170.32025,36047041800,79,111,79,76
419,3,Brooklyn,041900,3041900,E,BK78,Bushwick South,4002,5222.700541,1646861.69945,36047041900,73,66,58,59
420,3,Brooklyn,042000,3042000,E,BK25,Homecrest,4016,6966.654885,1820929.02037,36047042000,20,21,21,20
421,3,Brooklyn,042100,3042100,E,BK78,Bushwick South,4002,5252.771455,1651413.38192,36047042100,62,61,56,44
426,3,Brooklyn,042600,3042600,E,BK29,Bensonhurst East,4017,5548.580549,1829969.14358,36047042600,81,80,92,85
427,3,Brooklyn,042700,3042700,E,BK77,Bushwick North,4002,5232.288594,1595494.71384,36047042700,73,75,79,72
428,3,Brooklyn,042800,3042800,E,BK29,Bensonhurst East,4017,6669.645883,1773181.65751,36047042800,79,76,120,119
429,3,Brooklyn,042900,3042900,E,BK77,Bushwick North,4002,5385.170649,1809836.561,36047042900,103,91,88,90
430,3,Brooklyn,043000,3043000,E,BK29,Bensonhurst East,4017,6283.851112,1721309.63581,36047043000,125,126,146,137
431,3,Brooklyn,043100,3043100,E,BK77,Bushwick North,4002,5386.799542,1810786.86527,36047043100,88,79,77,67
432,3,Brooklyn,043200,3043200,E,BK29,Bensonhurst East,4017,5480.481648,1593340.96948,36047043200,85,86,95,92
433,3,Brooklyn,043300,3043300,E,BK77,Bushwick North,4002,5387.201248,1810979.34087,36047043300,99,99,93,84
434,3,Brooklyn,043400,3043400,E,BK29,Bensonhurst East,4017,5543.211492,1509164.80773,36047043400,91,88,100,93
435,3,Brooklyn,043500,3043500,E,BK77,Bushwick North,4002,5385.051872,1810895.26058,36047043500,164,145,141,127
436,3,Brooklyn,043600,3043600,E,BK29,Bensonhurst East,4017,5828.14367,1480301.67722,36047043600,115,105,99,93
437,3,Brooklyn,043700,3043700,E,BK77,Bushwick North,4002,5385.659379,1809983.94695,36047043700,103,100,98,84
439,3,Brooklyn,043900,3043900,E,BK77,Bushwick North,4002,8162.503894,2152392.90038,36047043900,65,57,49,46
440,3,Brooklyn,044000,3044000,I,BK46,Ocean Parkway South,4014,6721.508464,2173529.65554,36047044000,70,68,35,32
441,3,Brooklyn,044100,3044100,E,BK77,Bushwick North,4002,5513.910688,1528572.53276,36047044100,45,41,38,33
442,3,Brooklyn,044200,3044200,E,BK46,Ocean Parkway South,4014,6808.86938,1969036.0068,36047044200,26,27,27,23
443,3,Brooklyn,044300,3044300,E,BK77,Bushwick North,4002,5552.173245,1805749.99753,36047044300,58,49,50,43
444,3,Brooklyn,044400,3044400,E,BK46,Ocean Parkway South,4014,6032.535557,1878090.01156,36047044400,53,51,49,46
446,3,Brooklyn,044600,3044600,E,BK88,Borough Park,4014,6573.68922,1519495.97937,36047044600,4,3,3,3
452,3,Brooklyn,045200,3045200,I,BK46,Ocean Parkway South,4014,7171.838506,2005613.08254,36047045200,6,4,4,5
454,3,Brooklyn,045400,3045400,I,BK46,Ocean Parkway South,4014,6358.012474,1423881.81463,36047045400,26,28,35,32
456,3,Brooklyn,045600,3045600,E,BK43,Midwood,4015,6877.053535,1653625.1271,36047045600,88,84,74,73
458,3,Brooklyn,045800,3045800,I,BK43,Midwood,4015,7163.624969,1928275.45269,36047045800,2,2,2,1
460,3,Brooklyn,046000,3046000,I,BK42,Flatbush,4015,9311.95976,2107798.13553,36047046000,65,66,88,88
464,3,Brooklyn,046400,3046400,E,BK88,Borough Park,4014,6253.545202,1762814.00428,36047046400,51,50,51,48
470,3,Brooklyn,047000,3047000,E,BK88,Borough Park,4014,7325.247742,1966226.06983,36047047000,41,41,42,43
472,3,Brooklyn,047200,3047200,E,BK88,Borough Park,4014,6789.740082,1850619.13247,36047047200,89,88,82,80
474,3,Brooklyn,047400,3047400,E,BK88,Borough Park,4014,6422.115317,1893042.17625,36047047400,72,69,73,73
476,3,Brooklyn,047600,3047600,E,BK88,Borough Park,4014,7553.3809,2236222.64934,36047047600,99,95,101,97
481,3,Brooklyn,048100,3048100,I,BK90,East Williamsburg,4001,5318.152564,1628352.49267,36047048100,8,7,6,5
495,3,Brooklyn,049500,3049500,I,BK90,East Williamsburg,4001,4737.978177,1389722.73486,36047049500,7,7,6,6
499,3,Brooklyn,049900,3049900,E,BK76,Greenpoint,4001,5002.945382,1532199.80121,36047049900,5,4,3,3
503,3,Brooklyn,050300,3050300,E,BK90,East Williamsburg,4001,5030.788213,1348755.41934,36047050300,7,7,6,7
505,3,Brooklyn,050500,3050500,E,BK90,East Williamsburg,4001,6040.682134,1823285.67621,36047050500,73,70,137,131
507,3,Brooklyn,050700,3050700,E,BK75,Bedford,4003,6142.615832,1877637.22323,36047050700,170,173,163,165
508.01,3,Brooklyn,050801,3050801,E,BK42,Flatbush,4015,3753.545581,842216.06064,36047050801,60,59,55,50
510.01,3,Brooklyn,051001,3051001,E,BK42,Flatbush,4015,3652.726382,828176.492632,36047051001,103,90,83,78
514,3,Brooklyn,051400,3051400,E,BK42,Flatbush,4015,6293.562267,1949161.82139,36047051400,82,71,67,63
516.01,3,Brooklyn,051601,3051601,E,BK42,Flatbush,4015,4556.009525,1247781.40809,36047051601,144,134,118,129
516.02,3,Brooklyn,051602,3051602,E,BK42,Flatbush,4015,4557.163159,979567.955851,36047051602,96,90,105,81
517,3,Brooklyn,051700,3051700,I,BK73,North Side-South Side,4001,6225.178756,2020312.54217,36047051700,1,1,1,1
518,3,Brooklyn,051800,3051800,I,BK42,Flatbush,4015,6299.575326,2170111.3404,36047051800,25,25,25,25
