CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2012,vouchers2013,vouchers2014,vouchers2015
255,2,Bronx,025500,2025500,E,BX30,Kingsbridge Heights,3706,6684.820193,1808913.78738,36005025500,440,412,426,418
257,2,Bronx,025700,2025700,E,BX36,University Heights-Morris Heights,3707,8956.141237,1669997.24531,36005025700,114,116,119,115
261,2,Bronx,026100,2026100,I,BX30,Kingsbridge Heights,3706,6369.748808,1883344.02707,36005026100,-1,1,,21
263,2,Bronx,026300,2026300,E,BX30,Kingsbridge Heights,3706,7522.472558,1715401.10433,36005026300,363,340,382,377
269,2,Bronx,026900,2026900,E,BX30,Kingsbridge Heights,3706,12024.04825,4243317.4309,36005026900,120,114,115,109
444,4,Queens,044400,4044400,E,QN61,Jamaica,4112,20651.408751,9708088.75575,36081044400,20,16,14,12
468,4,Queens,046800,4046800,E,QN61,Jamaica,4112,6509.98907,2471077.98323,36081046800,10,9,9,9
129.01,2,Bronx,012901,2012901,E,BX33,Longwood,3710,7111.235982,1684031.13028,36005012901,266,267,263,268
159,2,Bronx,015900,2015900,E,BX27,Hunts Point,3710,4432.934016,1112938.77732,36005015900,10,11,12,11
2,2,Bronx,000200,2000200,I,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,15875.660246,5050182.71191,36005000200,119,112,114,113
4,2,Bronx,000400,2000400,I,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,24572.244221,8551573.02668,36005000400,88,75,78,76
2,3,Brooklyn,000200,3000200,I,BK32,Sunset Park West,4012,9075.284837,2952085.29777,36047000200,11,11,13,12
140,3,Brooklyn,014000,3014000,I,BK30,Dyker Heights,4013,5656.66588,1579390.47792,36047014000,36,34,32,31
142,3,Brooklyn,014200,3014200,I,BK31,Bay Ridge,4013,7748.9921,2165483.16053,36047014200,10,8,8,8
934.01,4,Queens,093401,4093401,I,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4114,9997.152846,5833413.94369,36081093401,1,1,1,2
934.02,4,Queens,093402,4093402,I,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4114,9411.752603,4259440.24204,36081093402,29,29,30,17
938,4,Queens,093800,4093800,E,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4114,13397.524423,8701232.01016,36081093800,26,24,22,49
314,3,Brooklyn,031400,3031400,E,BK26,Gravesend,4018,23907.868405,8954915.97153,36047031400,34,35,32,34
348,3,Brooklyn,034800,3034800,E,BK21,Seagate-Coney Island,4018,18428.328867,6980626.9952,36047034800,59,54,73,26
18,1,Manhattan,001800,1001800,E,MN27,Chinatown,3809,6391.951906,2399045.31544,36061001800,18,16,17,14
41,1,Manhattan,004100,1004100,E,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,5913.900682,2058843.42851,36061004100,3,6,6,4
241,1,Manhattan,024100,1024100,E,MN36,Washington Heights South,3801,6485.980175,1874026.69824,36061024100,198,188,186,186
247,1,Manhattan,024700,1024700,E,MN36,Washington Heights South,3801,7046.859461,2736225.68172,36061024700,148,143,138,132
517,4,Queens,051700,4051700,I,QN30,Maspeth,4110,9909.280095,2639981.84185,36081051700,1,2,1,1
607.01,4,Queens,060701,4060701,I,QN21,Middle Village,4110,19120.274284,7642774.56143,36081060701,-1,-1,,
1113,4,Queens,111300,4111300,I,QN46,Bayside-Bayside Hills,4104,13430.269527,7825364.23309,36081111300,1,1,1,1
1123,4,Queens,112300,4112300,I,QN46,Bayside-Bayside Hills,4104,7802.581082,3005919.33963,36081112300,-1,-1,,
168,1,Manhattan,016800,1016800,E,MN33,East Harlem South,3804,6262.354696,2151827.91924,36061016800,9,13,11,11
358,4,Queens,035800,4035800,I,QN66,Laurelton,4105,9912.326627,5641713.82269,36081035800,39,39,38,35
646,4,Queens,064600,4064600,I,QN66,Laurelton,4105,9231.135595,4377809.81626,36081064600,2,3,4,5
475,4,Queens,047500,4047500,E,QN29,Elmhurst,4107,9417.324801,3440538.9067,36081047500,3,3,3,3
479,4,Queens,047900,4047900,I,QN50,Elmhurst-Maspeth,4109,11161.854314,4181150.28336,36081047900,3,2,2,1
561,4,Queens,056100,4056100,I,QN99,park-cemetery-etc-Queens,4110,32879.24867,31235035.6038,36081056100,-1,-1,,
565,4,Queens,056500,4056500,E,QN19,Glendale,4110,6883.274201,1301402.31468,36081056500,38,37,33,29
772,3,Brooklyn,077200,3077200,E,BK42,Flatbush,4015,10391.964721,4351946.22718,36047077200,41,40,68,65
770,3,Brooklyn,077000,3077000,E,BK42,Flatbush,4015,7131.172051,1760973.11459,36047077000,19,18,18,16
786,3,Brooklyn,078600,3078600,E,BK42,Flatbush,4015,5904.541578,1834438.08872,36047078600,74,74,71,63
788,3,Brooklyn,078800,3078800,E,BK42,Flatbush,4015,5907.541932,1698020.28127,36047078800,43,41,12,34
203,3,Brooklyn,020300,3020300,E,BK64,Prospect Heights,4006,5265.168564,1512111.02421,36047020300,4,3,48,44
199,3,Brooklyn,019900,3019900,I,BK69,Clinton Hill,4004,5989.624771,2037876.6031,36047019900,10,9,9,9
201,3,Brooklyn,020100,3020100,I,BK69,Clinton Hill,4004,6244.380536,1884866.88194,36047020100,5,5,4,4
177,3,Brooklyn,017700,3017700,I,BK99,park-cemetery-etc-Brooklyn,4005,24229.300846,27386701.0703,36047017700,-1,-1,,
506,3,Brooklyn,050600,3050600,E,BK42,Flatbush,4015,6694.889568,1773129.57152,36047050600,201,208,203,194
431,2,Bronx,043100,2043100,E,BX43,Norwood,3706,10612.109947,2331576.32766,36005043100,517,484,460,440
435,2,Bronx,043500,2043500,E,BX99,park-cemetery-etc-Bronx,3702,45908.841003,72721530.6316,36005043500,1,2,8,9
96.01,5,Staten Island,009601,5009601,I,SI36,Old Town-Dongan Hills-South Beach,3902,13031.479354,8357982.87696,36085009601,1,1,4,3
110,2,Bronx,011000,2011000,E,BX52,Schuylerville-Throgs Neck-Edgewater Park,3703,26203.056194,21931215.0932,36005011000,8,8,8,6
973,4,Queens,097300,4097300,I,QN49,Whitestone,4103,11812.440703,5595370.20829,36081097300,-1,-1,,
981,4,Queens,098100,4098100,I,QN49,Whitestone,4103,19714.731772,6956794.76774,36081098100,-1,-1,1,1
18,3,Brooklyn,001800,3001800,I,BK32,Sunset Park West,4012,76527.757648,22091941.8674,36047001800,1,1,,
143,3,Brooklyn,014300,3014300,E,BK37,Park Slope-Gowanus,4005,6686.580823,2350772.88353,36047014300,17,17,14,14
818,4,Queens,081800,4081800,I,QN55,South Ozone Park,4113,9946.326461,4030425.10271,36081081800,20,19,21,20
846.02,4,Queens,084602,4084602,E,QN55,South Ozone Park,4113,19318.921062,8100613.6827,36081084602,2,2,2,1
797.02,4,Queens,079702,4079702,E,QN22,Flushing,4103,8426.871335,3101779.57828,36081079702,1,-1,,
803.01,4,Queens,080301,4080301,E,QN62,Queensboro Hill,4103,10710.406442,3470954.84148,36081080301,13,12,14,17
793,4,Queens,079300,4079300,I,QN99,park-cemetery-etc-Queens,4106,15761.100038,9357142.51035,36081079300,-1,-1,,
809,4,Queens,080900,4080900,I,QN37,Kew Gardens Hills,4106,16399.907609,10755472.7879,36081080900,6,7,6,7
142,1,Manhattan,014200,1014200,I,MN40,Upper East Side-Carnegie Hill,3805,5821.704938,1927688.36915,36061014200,-1,-1,,
143,1,Manhattan,014300,1014300,I,MN99,park-cemetery-etc-Manhattan,3806,32725.912618,38310842.5259,36061014300,-1,-1,,
361,3,Brooklyn,036100,3036100,E,BK79,Ocean Hill,4007,6064.699938,1524420.56162,36047036100,56,63,66,79
900,3,Brooklyn,090000,3090000,E,BK81,Brownsville,4007,6709.231068,2645350.78968,36047090000,89,92,85,87
311,3,Brooklyn,031100,3031100,E,BK61,Crown Heights North,4006,5467.523336,1587578.99119,36047031100,61,55,54,46
313,3,Brooklyn,031300,3031300,E,BK61,Crown Heights North,4006,5465.787025,1832521.65859,36047031300,76,63,131,117
228,5,Staten Island,022800,5022800,I,SI05,New Springville-Bloomfield-Travis,3902,57613.28162,116235447.219,36085022800,-1,-1,,
757.01,4,Queens,075701,4075701,I,QN17,Forest Hills,4108,7992.810739,2126258.96796,36081075701,-1,-1,,
62,2,Bronx,006200,2006200,E,BX08,West Farms-Bronx River,3709,7175.713422,2035610.9365,36005006200,148,143,142,133
13,1,Manhattan,001300,1001300,I,MN25,Battery Park City-Lower Manhattan,3810,8870.745916,3463332.99725,36061001300,-1,1,,
21,1,Manhattan,002100,1002100,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,6804.981465,2612780.98582,36061002100,2,2,2,2
128.05,5,Staten Island,012805,5012805,I,SI25,Oakwood-Oakwood Beach,3901,14436.493359,10627048.6798,36085012805,2,2,2,2
128.06,5,Staten Island,012806,5012806,I,SI25,Oakwood-Oakwood Beach,3901,16921.171676,13878361.5716,36085012806,184,186,187,178
960,3,Brooklyn,096000,3096000,I,BK50,Canarsie,4009,11062.662594,4574022.561,36047096000,-1,-1,,
962,3,Brooklyn,096200,3096200,I,BK50,Canarsie,4009,5460.115472,1920772.19745,36047096200,12,8,11,11
