CTLabel,BoroCode,BoroName,CT2000,BoroCT2000,CDEligibil,NTACode,NTANAme,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2000,vouchers2004,vouchers2005,vouchers2006,vouchers2007,vouchers2008,vouchers2009,vouchers2010,vouchers2011
636,3,Brooklyn,063600,3063600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5230.9454,1230571.66308,36047063600,0,0,0,0,0,0,-1,-1,2
638,3,Brooklyn,063800,3063800,I,BK44,Madison,4016,8403.550119,1498401.14257,36047063800,1,1,1,2,2,2,2,1,1
640,3,Brooklyn,064000,3064000,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5734.951918,1651211.82763,36047064000,1,0,1,1,1,1,1,1,1
646,3,Brooklyn,064600,3064600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5619.58907,1782721.46674,36047064600,2,1,2,2,2,2,2,3,2
648,3,Brooklyn,064800,3064800,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5217.264514,1631120.74981,36047064800,6,10,7,6,5,6,7,5,8
650,3,Brooklyn,065000,3065000,I,BK58,Flatlands,4009,5765.937302,1789145.89488,36047065000,5,7,8,9,9,7,6,5,5
652,3,Brooklyn,065200,3065200,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6302.374719,1875210.33432,36047065200,0,1,1,0,2,2,4,3,3
654,3,Brooklyn,065400,3065400,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6780.003102,1631231.56344,36047065400,1,1,1,1,4,5,5,1,7
656,3,Brooklyn,065600,3065600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5236.661072,1653144.16651,36047065600,0,1,1,1,1,2,2,1,1
658,3,Brooklyn,065800,3065800,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6272.716502,1650702.29,36047065800,2,1,0,0,0,1,3,3,6
660,3,Brooklyn,066000,3066000,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,5223.596615,1639605.45955,36047066000,1,1,1,1,1,1,2,1,14
670,3,Brooklyn,067000,3067000,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6204.720549,2244629.14296,36047067000,5,11,11,11,13,17,16,13,15
672,3,Brooklyn,067200,3067200,I,BK58,Flatlands,4009,8351.807778,1876487.88751,36047067200,1,6,4,5,9,9,11,5,6
674,3,Brooklyn,067400,3067400,I,BK58,Flatlands,4009,7270.497557,2039940.88935,36047067400,2,9,11,11,13,10,12,9,10
676,3,Brooklyn,067600,3067600,I,BK58,Flatlands,4009,6353.534866,1672665.63403,36047067600,5,4,3,2,0,1,3,3,2
678,3,Brooklyn,067800,3067800,I,BK58,Flatlands,4009,5416.415201,1789096.19468,36047067800,11,7,6,7,8,11,13,16,18
680,3,Brooklyn,068000,3068000,I,BK58,Flatlands,4009,5527.063749,1817783.50107,36047068000,2,3,3,3,6,7,7,6,8
682,3,Brooklyn,068200,3068200,I,BK58,Flatlands,4009,6486.696696,2176848.6481,36047068200,2,5,7,7,5,7,14,7,7
686,3,Brooklyn,068600,3068600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6255.090766,1592924.57341,36047068600,2,2,1,1,1,0,-1,-1,1
688,3,Brooklyn,068800,3068800,I,BK58,Flatlands,4009,5544.893011,1686416.81595,36047068800,0,1,1,1,4,3,5,32,7
690,3,Brooklyn,069000,3069000,I,BK58,Flatlands,4009,6663.144014,1861629.20116,36047069000,4,2,0,1,3,9,15,9,10
692,3,Brooklyn,069200,3069200,I,BK58,Flatlands,4009,6487.948555,1952887.70796,36047069200,3,9,9,9,13,12,13,10,10
698,3,Brooklyn,069800,3069800,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6286.318169,1868751.79898,36047069800,0,0,0,0,0,0,-1,-1,-1
1110,3,Brooklyn,111000,3111000,E,BK82,East New York,4008,4637.069269,1326238.90785,36047111000,0,0,0,0,0,2,124,110,145
1120,3,Brooklyn,112000,3112000,E,BK82,East New York,4008,5493.043248,1861924.43515,36047112000,55,73,70,72,81,74,86,77,77
1122,3,Brooklyn,112200,3112200,E,BK85,East New York (Pennsylvania Ave),4007,5931.016913,1747124.14285,36047112200,61,85,88,100,125,140,138,136,137
1124,3,Brooklyn,112400,3112400,E,BK82,East New York,4008,5874.918577,1914338.73737,36047112400,72,88,82,86,111,113,135,136,134
1126,3,Brooklyn,112600,3112600,E,BK85,East New York (Pennsylvania Ave),4007,5460.421471,1813472.25491,36047112600,91,146,145,149,131,135,141,129,129
1128,3,Brooklyn,112800,3112800,E,BK85,East New York (Pennsylvania Ave),4007,5742.492752,1982797.94252,36047112800,114,104,103,103,113,133,131,123,128
1130,3,Brooklyn,113000,3113000,E,BK85,East New York (Pennsylvania Ave),4007,7587.90187,2086280.363,36047113000,86,126,115,99,107,103,102,89,82
1134,3,Brooklyn,113400,3113400,E,BK85,East New York (Pennsylvania Ave),4007,5266.484821,1651198.28288,36047113400,65,70,73,74,66,72,74,68,68
1146,3,Brooklyn,114600,3114600,E,BK83,Cypress Hills-City Line,4008,5921.10197,1723239.65524,36047114600,45,55,50,47,54,75,86,86,78
1148,3,Brooklyn,114800,3114800,E,BK82,East New York,4008,6228.486201,2140047.42143,36047114800,63,72,70,59,73,88,94,95,89
1150,3,Brooklyn,115000,3115000,E,BK82,East New York,4008,5234.744652,1703334.23544,36047115000,39,46,59,79,96,109,113,111,103
1152,3,Brooklyn,115200,3115200,E,BK82,East New York,4008,5358.559456,1788251.76905,36047115200,58,83,81,84,101,105,100,95,94
1154,3,Brooklyn,115400,3115400,E,BK85,East New York (Pennsylvania Ave),4007,5466.23355,1867283.48385,36047115400,29,54,48,63,58,52,69,58,62
1156,3,Brooklyn,115600,3115600,E,BK85,East New York (Pennsylvania Ave),4007,5354.677995,1720940.15808,36047115600,33,44,40,43,55,62,76,76,76
1158,3,Brooklyn,115800,3115800,E,BK85,East New York (Pennsylvania Ave),4007,5290.733719,1668175.75963,36047115800,51,66,82,85,96,101,95,112,100
1160,3,Brooklyn,116000,3116000,E,BK82,East New York,4008,5240.898183,1629832.76475,36047116000,38,38,44,40,39,40,41,41,37
1162,3,Brooklyn,116200,3116200,E,BK82,East New York,4008,5134.956914,1543810.21578,36047116200,29,41,40,34,32,31,32,26,25
1164,3,Brooklyn,116400,3116400,E,BK82,East New York,4008,5646.047881,1954432.52237,36047116400,68,80,80,81,92,89,89,92,83
1166,3,Brooklyn,116600,3116600,E,BK82,East New York,4008,5251.282216,1715706.32296,36047116600,73,66,70,90,119,139,144,138,129
1168,3,Brooklyn,116800,3116800,E,BK82,East New York,4008,5447.927866,1549346.23228,36047116800,36,52,46,50,55,57,60,55,48
1170,3,Brooklyn,117000,3117000,E,BK82,East New York,4008,5331.200604,1653944.11838,36047117000,40,42,39,35,41,47,47,47,47
1172.01,3,Brooklyn,117201,3117201,E,BK83,Cypress Hills-City Line,4008,5149.181994,1390018.19851,36047117201,45,41,39,39,47,60,65,63,60
1172.02,3,Brooklyn,117202,3117202,E,BK83,Cypress Hills-City Line,4008,5193.718701,1634622.24725,36047117202,92,118,118,127,130,131,128,125,122
1192,3,Brooklyn,119200,3119200,E,BK82,East New York,4008,6322.103774,2426609.88626,36047119200,61,80,83,75,94,113,109,102,144
1194,3,Brooklyn,119400,3119400,E,BK82,East New York,4008,5622.863766,1964536.04069,36047119400,113,120,133,127,152,179,195,172,147
4,4,Queens,000400,4000400,E,QN53,Woodhaven,4111,6508.271146,2420892.3181,36081000400,45,55,54,54,55,65,74,71,72
6,4,Queens,000600,4000600,E,QN53,Woodhaven,4111,6437.134186,2307340.95841,36081000600,32,43,47,46,50,59,62,60,60
8,4,Queens,000800,4000800,E,QN53,Woodhaven,4111,5918.323475,2043534.17358,36081000800,17,14,14,17,25,32,31,30,28
10,4,Queens,001000,4001000,I,QN53,Woodhaven,4111,5286.510899,1743090.12862,36081001000,14,21,20,18,21,24,26,27,30
12,4,Queens,001200,4001200,I,QN53,Woodhaven,4111,6305.939854,2420974.00559,36081001200,20,18,19,19,20,22,24,28,37
14,4,Queens,001400,4001400,I,QN53,Woodhaven,4111,6059.963202,2305944.46124,36081001400,8,15,16,18,22,27,38,57,45
16,4,Queens,001600,4001600,I,QN53,Woodhaven,4111,5985.307007,1623632.66993,36081001600,10,12,12,12,19,23,42,29,28
28,4,Queens,002800,4002800,E,QN54,Richmond Hill,4111,6400.430919,2386683.26796,36081002800,31,25,20,24,28,31,35,36,37
31,4,Queens,003100,4003100,E,QN68,Queensbridge-Ravenswood-Long Island City,4101,6569.629334,1773313.10633,36081003100,2,2,1,1,2,0,1,1,1
32,4,Queens,003200,4003200,I,QN53,Woodhaven,4111,5665.188694,1791170.49587,36081003200,11,11,12,16,19,23,33,37,36
38,4,Queens,003800,4003800,E,QN53,Woodhaven,4111,7114.920733,1896703.63757,36081003800,20,26,22,19,20,32,36,30,27
39,4,Queens,003900,4003900,E,QN68,Queensbridge-Ravenswood-Long Island City,4101,7160.549837,1580667.0741,36081003900,21,11,7,8,9,8,10,10,7
40.01,4,Queens,004001,4004001,I,QN53,Woodhaven,4111,6859.283266,1875952.88595,36081004001,11,10,14,15,16,34,34,30,31
41,4,Queens,004100,4004100,E,QN68,Queensbridge-Ravenswood-Long Island City,4101,7263.604483,1582511.78731,36081004100,7,9,6,6,6,5,5,4,5
920,3,Brooklyn,092000,3092000,E,BK81,Brownsville,4007,6706.177273,2555478.4117,36047092000,127,136,123,135,158,315,346,314,295
922,3,Brooklyn,092200,3092200,E,BK81,Brownsville,4007,7713.690046,1743529.66507,36047092200,30,49,59,49,56,58,59,57,58
928,3,Brooklyn,092800,3092800,E,BK96,Rugby-Remsen Village,4010,5286.461073,1692108.08633,36047092800,25,23,28,23,26,27,24,19,20
930,3,Brooklyn,093000,3093000,E,BK96,Rugby-Remsen Village,4010,6635.848086,2090418.81812,36047093000,9,12,9,11,10,9,8,5,7
938,3,Brooklyn,093800,3093800,E,BK96,Rugby-Remsen Village,4010,5280.362743,1411460.04917,36047093800,16,17,28,19,22,24,23,25,29
940,3,Brooklyn,094000,3094000,I,BK96,Rugby-Remsen Village,4010,4857.993536,1274028.4379,36047094000,5,1,0,2,2,3,2,1,-1
954,3,Brooklyn,095400,3095400,E,BK50,Canarsie,4009,6931.2185,2551621.24937,36047095400,14,30,32,31,23,21,26,29,32
956,3,Brooklyn,095600,3095600,I,BK50,Canarsie,4009,8009.771418,2557408.96524,36047095600,17,17,21,20,24,34,42,43,42
958,3,Brooklyn,095800,3095800,I,BK50,Canarsie,4009,7089.03612,2524381.20725,36047095800,5,9,10,10,12,13,20,24,24
964,3,Brooklyn,096400,3096400,I,BK50,Canarsie,4009,5517.263043,1900792.36919,36047096400,5,16,19,23,24,26,31,31,29
966,3,Brooklyn,096600,3096600,I,BK50,Canarsie,4009,6518.29127,1950813.6413,36047096600,9,10,11,11,11,19,35,15,16
968,3,Brooklyn,096800,3096800,E,BK50,Canarsie,4009,5097.840548,1603786.91658,36047096800,7,8,8,9,10,13,12,40,17
970,3,Brooklyn,097000,3097000,E,BK50,Canarsie,4009,5377.961115,1759315.49065,36047097000,17,20,19,10,13,10,11,11,14
982,3,Brooklyn,098200,3098200,E,BK50,Canarsie,4009,8077.654143,2728289.7353,36047098200,0,0,0,0,0,2,1,1,1
984,3,Brooklyn,098400,3098400,I,BK50,Canarsie,4009,4686.586757,1214786.87843,36047098400,4,6,3,3,4,6,5,4,5
