tract,year,nycha,hud,totPopulation,totPopUnder5,totPerPopUnder5,totWhite,totPerWhite,totBlack,totPerBlack,totAsian,totPerAsian,totHispanic,totPerHispanic,totHouseholds,totFamilies,totPoverty,totPerPoverty,totFamiliesPoverty,totPerFamiliesPoverty,totYiddish,totPerYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopOver5,totPerBlackHispanic,sec8Households,sec8Population,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8PerHHWhite,sec8PerPop,sec8PerHH,sec8PerVouchers,boro,neighborhood
36005003100,2000,N,N,1478,155.19,0.105,450,0.304,404,0.273,2,0.001,1134,0.767,476,367,350,0.23399999999999999,76,0.19699999999999998,0,0,1028,0.696,1538,1322.81,1.040595399188092,31,100,1,0.19,0.06,0.74,0,0.06765899864682003,0.06512605042016807,0.0003991245010943736,Bronx,Mott Haven-Port Morris
36005003300,2000,N,N,3116,299.136,0.096,620,0.19899999999999998,867,0.278,7,0.002,2383,0.765,945,737,1840,0.597,464,0.637,0,0,2496,0.801,3250,2816.864,1.0430038510911426,24,100,1,0.46,0,0.54,0,0.03209242618741977,0.025396825396825397,0.0003089996137504828,Bronx,Mott Haven-Port Morris
36005003500,2000,N,N,3473,305.624,0.08800000000000001,746,0.215,1012,0.29100000000000004,6,0.002,2553,0.735,1131,836,1493,0.434,325,0.395,0,0,2727,0.785,3565,3167.376,1.0264900662251655,133,400,0.97,0.26,0,0.71,0.030000000000000027,0.1151742009789807,0.11759504862953139,0.0017123728595339256,Bronx,Mott Haven-Port Morris
36005003600,2000,N,N,7529,496.91400000000004,0.066,1692,0.225,3979,0.528,27,0.004,3689,0.49,2655,1946,2358,0.324,618,0.314,0,0,5837,0.775,7668,7032.086,1.018461947137734,56,100,0.96,0.25,0,0.71,0.040000000000000036,0.013281976358082082,0.021092278719397364,0.0007209990987511266,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005003700,2000,N,N,478,44.932,0.094,88,0.184,170,0.35600000000000004,0,0,297,0.621,152,129,222,0.441,57,0.38,0,0,390,0.8160000000000001,467,433.068,0.9769874476987448,56,100,0.98,0.48,0,0.5,0.020000000000000018,0.20920502092050208,0.3684210526315789,0.0007209990987511266,Bronx,Mott Haven-Port Morris
36005003800,2000,N,N,1263,93.46200000000002,0.07400000000000001,452,0.358,447,0.354,11,0.009000000000000001,753,0.596,415,316,402,0.303,64,0.24,0,0,811,0.642,1200,1169.538,0.9501187648456056,23,100,1,0.09,0,0.91,0,0.0791765637371338,0.05542168674698795,0.0002961246298442127,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005003900,2000,N,N,6022,554.024,0.092,1665,0.276,1390,0.231,27,0.004,4745,0.7879999999999999,2092,1276,2535,0.423,526,0.408,0,0,4357,0.724,6135,5467.976,1.0187645300564596,76,200,0.99,0.43,0,0.55,0.010000000000000009,0.033211557622052475,0.036328871892925434,0.000978498776876529,Bronx,Mott Haven-Port Morris
36005004001,2000,N,N,1420,83.78,0.059000000000000004,613,0.43200000000000005,264,0.18600000000000003,137,0.096,723,0.509,547,373,382,0.28,95,0.24100000000000002,0,0,807,0.568,987,1336.22,0.6950704225352112,34,100,0.91,0.32,0,0.59,0.08999999999999997,0.07042253521126761,0.062157221206581355,0.000437749452813184,Bronx,Soundview-Bruckner
36005004002,2000,N,N,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.01,0.01,0.01,0.01,0.99,1,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005004100,2000,N,N,5240,382.52,0.073,1168,0.223,1593,0.304,21,0.004,3815,0.728,1797,1171,2643,0.507,541,0.466,0,0,4072,0.777,5408,4857.48,1.03206106870229,30,100,1,0.17,0,0.83,0,0.019083969465648856,0.01669449081803005,0.0003862495171881035,Bronx,Mott Haven-Port Morris
36005004300,2000,N,N,4789,354.386,0.07400000000000001,1145,0.239,1211,0.253,40,0.008,3713,0.775,1484,1175,1451,0.309,377,0.315,0,0,3644,0.761,4924,4434.614,1.0281896011693463,29,100,1,0.24,0,0.76,0,0.02088118605136772,0.01954177897574124,0.0003733745332818334,Bronx,Mott Haven-Port Morris
36005004400,2000,N,N,4671,392.36400000000003,0.084,998,0.214,2240,0.48,27,0.006,2603,0.557,1601,1205,2679,0.5760000000000001,657,0.536,0,0,3673,0.786,4843,4278.636,1.0368229501177477,13,0,0.92,0.38,0,0.54,0,0,0.008119925046845722,0.00016737479078151154,Bronx,Soundview-Bruckner
36005004600,2000,N,N,1428,101.38799999999999,0.071,387,0.271,613,0.429,15,0.011000000000000001,749,0.525,578,367,510,0.322,101,0.26,0,0,1041,0.729,1362,1326.612,0.9537815126050421,14,0,0.93,0.36,0,0.57,0,0,0.02422145328719723,0.00018024977468778164,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005004700,2000,N,N,5387,414.799,0.077,1069,0.198,2341,0.435,26,0.005,3238,0.601,1771,1338,3056,0.58,707,0.53,0,0,4318,0.802,5579,4972.201,1.0356413588268052,0,1,0.01,0.01,0.01,0.01,0.99,0.00018563207722294413,0,0,Bronx,Mott Haven-Port Morris
36005004800,2000,N,N,3678,415.61400000000003,0.113,870,0.237,788,0.214,94,0.026000000000000002,2863,0.778,1157,859,1821,0.516,455,0.514,0,0,2808,0.763,3651,3262.386,0.9926590538336052,134,300,0.99,0.23,0,0.75,0.010000000000000009,0.08156606851549755,0.11581676750216076,0.0017252478434401958,Bronx,Soundview-Bruckner
36005004900,2000,N,N,246,19.926000000000002,0.081,51,0.207,69,0.28,1,0.004,176,0.715,93,56,57,0.281,9,0.237,0,0,195,0.793,245,226.074,0.9959349593495935,0,1,0.01,0.01,0.01,0.01,0.99,0.0040650406504065045,0,0,Bronx,Mott Haven-Port Morris
36005005000,2000,N,N,10740,1224.3600000000001,0.114,3036,0.28300000000000003,3225,0.3,131,0.012,7635,0.711,3396,2596,4564,0.428,1099,0.42100000000000004,0,0,7704,0.717,10860,9515.64,1.011173184357542,509,1300,0.99,0.37,0,0.62,0.010000000000000009,0.12104283054003724,0.1498822143698469,0.00655336680829149,Bronx,Soundview-Bruckner
36005005200,2000,N,N,2186,198.926,0.091,647,0.29600000000000004,685,0.313,45,0.021,1405,0.643,775,560,858,0.406,219,0.39,0,0,1539,0.704,2090,1987.074,0.9560841720036597,59,100,1,0.51,0,0.49,0,0.04574565416285453,0.07612903225806451,0.0007596240504699369,Bronx,Soundview-Bruckner
36005005301,2000,N,N,34,0,0,7,0.20600000000000002,24,0.706,0,0,17,0.5,2,0,0,0,0,0,0,0,27,0.794,41,34,1.2058823529411764,0,1,0.01,0.01,0.01,0.01,0.99,0.029411764705882353,0,0,Bronx,park-cemetery-etc-Bronx
36005005302,2000,N,N,4161,416.1,0.1,426,0.102,2836,0.682,5,0.001,1488,0.358,1430,972,1742,0.41100000000000003,395,0.408,0,0,3735,0.898,4324,3744.9,1.0391732756548906,384,1200,0.99,0.68,0,0.31,0.010000000000000009,0.2883922134102379,0.26853146853146853,0.004943993820007725,Bronx,University Heights-Morris Heights
36005005400,2000,N,N,5550,488.40000000000003,0.08800000000000001,1402,0.253,1800,0.324,231,0.042,3435,0.619,1768,1327,2106,0.381,464,0.35100000000000003,0,0,4148,0.747,5235,5061.6,0.9432432432432433,200,600,0.96,0.41,0,0.55,0.040000000000000036,0.10810810810810811,0.11312217194570136,0.0025749967812540232,Bronx,West Farms-Bronx River
36005005600,2000,N,N,2710,241.19000000000003,0.08900000000000001,678,0.25,811,0.299,59,0.022000000000000002,1733,0.639,1016,631,979,0.365,196,0.303,0,0,2032,0.75,2544,2468.81,0.9387453874538746,103,300,0.98,0.25,0,0.73,0.020000000000000018,0.11070110701107011,0.10137795275590551,0.001326123342345822,Bronx,West Farms-Bronx River
36005005700,2000,N,N,858,34.32,0.04,209,0.244,407,0.474,15,0.017,430,0.501,194,99,87,0.19699999999999998,11,0.11,0,0,649,0.756,837,823.68,0.9755244755244755,7,1,0.01,0.01,0.01,0.01,0.99,0.0011655011655011655,0.03608247422680412,0.00009012488734389082,Bronx,West Concourse
36005005800,2000,N,N,5,1,0.2,0,0,1,0.2,0,0,4,0.8,2,1,6,1,1,1,0,0,0,0,5,4,1,5,1,0.01,0.01,0.01,0.01,0.99,0.2,2.5,0.00006437491953135059,Bronx,Crotona Park East
36005005901,2000,N,N,4972,467.368,0.094,868,0.175,1756,0.353,278,0.055999999999999994,3061,0.616,1714,1167,1810,0.368,372,0.32,0,0,4104,0.825,4817,4504.632,0.9688254223652454,238,600,1,0.23,0,0.77,0,0.12067578439259855,0.13885647607934656,0.003064246169692288,Bronx,West Concourse
36005005902,2000,N,N,2682,201.15,0.075,656,0.245,1117,0.41600000000000004,44,0.016,1543,0.575,1068,649,682,0.255,183,0.287,0,0,2026,0.755,2660,2480.85,0.9917971662938105,14,0,1,0.29,0,0.71,0,0,0.013108614232209739,0.00018024977468778164,Bronx,East Concourse-Concourse Village
36005006000,2000,N,N,1081,86.48,0.08,349,0.32299999999999995,175,0.162,5,0.005,880,0.8140000000000001,370,245,185,0.171,48,0.198,0,0,732,0.677,1055,994.52,0.9759481961147086,21,100,1,0.05,0,0.95,0,0.09250693802035152,0.05675675675675676,0.00027037466203167247,Bronx,Crotona Park East
36005006100,2000,N,N,4039,173.677,0.043,321,0.079,3330,0.8240000000000001,17,0.004,628,0.155,2074,1019,628,0.159,151,0.141,0,0,3718,0.921,3958,3865.323,0.9799455310720475,8,1,0.01,0.01,0.01,0.01,0.99,0.0002475860361475613,0.003857280617164899,0.00010299987125016093,Bronx,East Concourse-Concourse Village
36005006200,2000,N,N,6399,575.91,0.09,1170,0.183,3139,0.491,49,0.008,3356,0.524,2310,1559,2590,0.41,607,0.384,0,0,5229,0.817,6495,5823.09,1.015002344116268,196,500,0.99,0.41,0,0.58,0.010000000000000009,0.0781372089388967,0.08484848484848485,0.002523496845628943,Bronx,West Farms-Bronx River
36005006400,2000,N,N,3967,313.39300000000003,0.079,897,0.226,1626,0.41,90,0.023,2133,0.5379999999999999,1297,974,853,0.226,164,0.193,0,0,3070,0.774,3759,3653.607,0.9475674313082935,133,400,0.98,0.27,0,0.71,0.020000000000000018,0.1008318628686665,0.10254433307632999,0.0017123728595339256,Bronx,West Farms-Bronx River
36005006500,2000,N,N,4655,428.26,0.092,1355,0.29100000000000004,1594,0.342,125,0.027000000000000003,3010,0.647,1620,1058,1757,0.373,427,0.376,0,0,3300,0.709,4604,4226.74,0.9890440386680989,123,300,0.99,0.54,0.01,0.44,0.010000000000000009,0.0644468313641246,0.07592592592592592,0.0015836230204712245,Bronx,Melrose South-Mott Haven North
36005006600,2000,N,N,4113,361.944,0.08800000000000001,1208,0.294,1183,0.28800000000000003,96,0.023,2797,0.68,1369,1003,1058,0.259,273,0.26899999999999996,0,0,2905,0.706,3980,3751.056,0.9676635059567226,163,400,0.98,0.22,0,0.76,0.020000000000000018,0.09725261366399222,0.11906501095690285,0.002098622376722029,Bronx,West Farms-Bronx River
36005006700,2000,N,N,6491,584.1899999999999,0.09,1372,0.21100000000000002,2335,0.36,59,0.009000000000000001,4370,0.6729999999999999,2119,1524,2466,0.382,532,0.349,0,0,5119,0.7889999999999999,6705,5906.81,1.0329687259282083,66,200,1,0.44,0,0.55,0,0.030811893390848867,0.03114676734308636,0.0008497489378138278,Bronx,Melrose South-Mott Haven North
36005006800,2000,N,N,3209,269.55600000000004,0.084,614,0.191,1057,0.32899999999999996,136,0.042,1913,0.596,1109,810,880,0.284,200,0.247,0,0,2595,0.8089999999999999,2970,2939.444,0.9255219694608913,88,300,0.99,0.38,0,0.61,0.010000000000000009,0.09348706762231225,0.0793507664562669,0.0011329985837517703,Bronx,Soundview-Bruckner
36005006900,2000,N,N,4323,389.07,0.09,908,0.21,1695,0.392,11,0.003,2758,0.638,1350,911,2701,0.623,567,0.609,0,0,3415,0.79,4453,3933.93,1.0300717094610223,24,100,0.88,0.25,0,0.63,0.12,0.023132084200786492,0.017777777777777778,0.0003089996137504828,Bronx,Melrose South-Mott Haven North
36005007000,2000,N,N,4160,361.91999999999996,0.087,1387,0.33299999999999996,1034,0.249,297,0.071,2532,0.609,1296,960,991,0.245,194,0.21,0,0,2773,0.667,3566,3798.08,0.8572115384615384,92,300,0.99,0.28,0.01,0.7,0.010000000000000009,0.07211538461538461,0.07098765432098765,0.0011844985193768507,Bronx,Soundview-Bruckner
36005007100,2000,N,N,1885,126.295,0.067,446,0.237,657,0.349,9,0.005,1271,0.674,548,438,597,0.32799999999999996,119,0.257,0,0,1439,0.763,1928,1758.705,1.0228116710875332,20,100,1,0.2,0,0.75,0,0.05305039787798409,0.0364963503649635,0.00025749967812540236,Bronx,Melrose South-Mott Haven North
36005007200,2000,N,N,5073,405.84000000000003,0.08,1346,0.265,897,0.177,879,0.17300000000000001,2842,0.56,1759,1249,1345,0.26899999999999996,323,0.259,8,0.002,3727,0.735,3739,4667.16,0.7370392272816874,132,300,0.99,0.17,0,0.82,0.010000000000000009,0.05913660555884092,0.07504263786242182,0.0016994978756276556,Bronx,Soundview-Bruckner
36005007300,2000,N,N,3248,337.79200000000003,0.10400000000000001,716,0.22,932,0.287,24,0.006999999999999999,2444,0.752,1081,779,1327,0.41,322,0.409,0,0,2532,0.78,3376,2910.208,1.0394088669950738,47,100,0.96,0.21,0.02,0.72,0.040000000000000036,0.03078817733990148,0.043478260869565216,0.0006051242435946955,Bronx,Melrose South-Mott Haven North
36005007400,2000,N,N,3503,210.17999999999998,0.06,700,0.2,1657,0.473,70,0.02,1769,0.505,1326,916,536,0.16399999999999998,141,0.16,0,0,2803,0.8,3426,3292.82,0.9780188409934342,31,100,1,0.42,0,0.58,0,0.028546959748786755,0.023378582202111614,0.0003991245010943736,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005007500,2000,N,N,4688,389.10400000000004,0.083,899,0.192,1761,0.376,26,0.006,3125,0.667,1565,1199,1573,0.33899999999999997,391,0.324,0,0,3789,0.808,4886,4298.896,1.0422354948805461,88,300,0.99,0.33,0,0.66,0.010000000000000009,0.06399317406143344,0.05623003194888179,0.0011329985837517703,Bronx,Melrose South-Mott Haven North
36005007700,2000,N,N,1307,101.946,0.078,320,0.245,372,0.285,24,0.018000000000000002,941,0.72,408,307,683,0.44299999999999995,148,0.433,0,0,987,0.755,1313,1205.054,1.0045906656465187,31,100,0.97,0.32,0,0.65,0.030000000000000027,0.07651109410864575,0.07598039215686274,0.0003991245010943736,Bronx,Melrose South-Mott Haven North
36005007800,2000,N,N,6171,506.02199999999993,0.08199999999999999,1997,0.324,1269,0.20600000000000002,383,0.062,3938,0.638,2079,1550,1205,0.19699999999999998,276,0.17800000000000002,0,0,4174,0.6759999999999999,5207,5664.978,0.843785448063523,148,500,0.94,0.22,0,0.72,0.06000000000000005,0.0810241451952682,0.07118807118807119,0.0019054976181279773,Bronx,Westchester-Unionport
36005007900,2000,N,N,6598,541.036,0.08199999999999999,1465,0.222,1716,0.26,26,0.004,5021,0.7609999999999999,2204,1387,3247,0.498,577,0.42,0,0,5133,0.778,6737,6056.964,1.0210669899969689,63,200,0.98,0.37,0,0.62,0.020000000000000018,0.03031221582297666,0.028584392014519056,0.0008111239860950173,Bronx,Melrose South-Mott Haven North
36005008100,2000,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.01,0.01,0.01,0.01,0.99,Infinity,Infinity,0.00006437491953135059,Bronx,Hunts Point
