tract,year,nycha,hud,totPopulation,totPerPopUnder5,totPopPoverty,totPerPoverty,totHouseholds,totFamilies,totWhite,totBlack,totAsian,totHispanic,totYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopUnder5,totPopOver5,totPoverty,totPerHispanic,totPerWhite,totPerAsian,totPerBlack,totPerYiddish,totPerBlackHispanic,hhNYCHA,sec8Households,popNYCHA,sec8Population,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8PerHHWhite,sec8TotHHWhite,sec8TotHHNotWhite,sec8TotHHBlack,sec8TotHHAsian,sec8TotHHHispanic,sec8PerPop,sec8PerHH,sec8PerVouchers,boro,neighborhood,sec8HouseholdsNYCHA,sec8PopulationNYCHA,sec8AvgIncomeNYCHA
36081144100,2009,Y,Y,3001,0.024,3001,0.08800000000000001,1260,2.96,1677,48,956,223,0,1324,0.44118627124291904,271,72.024,2928.976,264.088,0.07430856381206265,0.558813728757081,0.3185604798400533,0.01599466844385205,0,0.09030323225591469,N,1,N,1,0,0.01,0.01,0.01,1,1,0,0.01,0.01,0.01,0.0003332222592469177,0.0007936507936507937,0.000007545347538707633,Queens,Bayside-Bayside Hills,1,1,
36081144700,2009,Y,Y,2615,0.044000000000000004,2615,0.092,920,3.57,331,690,1036,558,0,2284,0.8734225621414914,1248,115.06000000000002,2499.94,240.57999999999998,0.21338432122370937,0.1265774378585086,0.3961759082217973,0.2638623326959847,0,0.47724665391969406,N,2,N,1,1,0.01,0.01,0.01,0,0,2,0.02,0.02,0.02,0.0003824091778202677,0.002173913043478261,0.000015090695077415266,Queens,Bayside-Bayside Hills,2,3,
36081145101,2009,N,Y,1545,0.083,1545,0.099,528,3.31,687,13,702,143,0,858,0.5553398058252427,156,128.235,1416.7649999999999,152.955,0.09255663430420712,0.4446601941747573,0.45436893203883494,0.008414239482200648,0,0.10097087378640776,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Auburndale,,,
36081145102,2009,Y,Y,2679,0.08,2679,0.109,827,3.77,1294,0,1145,240,0,1385,0.5169839492347891,240,214.32,2464.68,292.011,0.08958566629339305,0.4830160507652109,0.42739828294139603,0,0,0.08958566629339305,N,1,N,1,1,0.01,0.01,0.01,0,0,1,0.01,0.01,0.01,0.0003732736095558044,0.0012091898428053204,0.000007545347538707633,Queens,Bayside-Bayside Hills,1,2,
36081145900,2009,N,Y,3379,0.03,3379,0.078,1082,3.53,1796,0,1119,378,0,1583,0.4684817993489198,378,101.36999999999999,3277.63,263.562,0.11186741639538325,0.5315182006510802,0.33116306599585676,0,0,0.11186741639538325,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Auburndale,,,
36081146300,2009,N,Y,3126,0.04,2671,0.107,970,3.11,1533,0,1133,460,0,1593,0.5095969289827256,460,125.04,3000.96,285.79699999999997,0.1471529110684581,0.4904030710172745,0.36244401791426745,0,0,0.1471529110684581,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Bayside-Bayside Hills,,,
36081146700,2009,Y,Y,3175,0.044000000000000004,3175,0.11699999999999999,1374,3.05,1884,29,796,466,0,1291,0.4066141732283465,495,139.70000000000002,3035.3,371.47499999999997,0.1467716535433071,0.5933858267716535,0.25070866141732284,0.009133858267716535,0,0.15590551181102363,N,3,N,1,0.67,0.01,0.01,0.01,0.32999999999999996,0.9899999999999999,2.0100000000000002,0.03,0.03,0.03,0.00031496062992125983,0.002183406113537118,0.0000226360426161229,Queens,Bayside-Bayside Hills,3,4,
36081147100,2009,Y,Y,3497,0.071,3488,0.057999999999999996,1361,3.19,1790,17,1347,343,0,1707,0.48813268515870745,360,248.28699999999998,3248.713,202.30399999999997,0.09808407206176722,0.5118673148412926,0.3851873034029168,0.004861309694023448,0,0.10294538175579068,N,1,N,1,1,0.01,0.01,0.01,0,0,1,0.01,0.01,0.01,0.00028595939376608524,0.0007347538574577516,0.000007545347538707633,Queens,Bayside-Bayside Hills,1,4,
36081147900,2009,N,Y,4174,0.039,4174,0.037000000000000005,1666,3.12,2501,0,1060,613,0,1673,0.4008145663632008,613,162.786,4011.214,154.43800000000002,0.14686152371825587,0.5991854336367992,0.2539530426449449,0,0,0.14686152371825587,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Douglas Manor-Douglaston-Little Neck,,,
36081148300,2009,N,Y,3382,0.044000000000000004,3382,0.035,1106,3.6,2022,67,1078,200,0,1360,0.4021289178001183,267,148.80800000000002,3233.192,118.37,0.05913660555884092,0.5978710821998817,0.3187463039621526,0.019810762862211707,0,0.07894736842105263,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Douglas Manor-Douglaston-Little Neck,,,
36081150701,2009,N,Y,2761,0.047,2761,0.046,1067,3.28,2004,0,641,116,0,757,0.2741760231800072,116,129.767,2631.233,127.006,0.042013763129300975,0.7258239768199928,0.23216226005070625,0,0,0.042013763129300975,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Douglas Manor-Douglaston-Little Neck,,,
36081150702,2009,N,Y,3285,0.065,3285,0.053,1185,3.16,2020,24,926,302,0,1265,0.3850837138508371,326,213.525,3071.475,174.105,0.09193302891933029,0.6149162861491628,0.28188736681887366,0.0073059360730593605,0,0.09923896499238966,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Douglas Manor-Douglaston-Little Neck,,,
36081152901,2009,Y,Y,6094,0.02,6094,0.076,2442,2.94,2661,289,2505,624,0,3433,0.5633409911388251,913,121.88,5972.12,463.144,0.10239579914670167,0.4366590088611749,0.4110600590744995,0.04742369543813587,0,0.14981949458483754,N,1,N,1,1,0.01,0.01,0.01,0,0,1,0.01,0.01,0.01,0.00016409583196586806,0.0004095004095004095,0.000007545347538707633,Queens,Douglas Manor-Douglaston-Little Neck,1,1,
36081152902,2009,N,Y,5097,0.077,5097,0.057,2197,3.03,3030,69,1242,735,0,2067,0.405532666274279,804,392.469,4704.531,290.529,0.14420247204237788,0.594467333725721,0.24367274867569158,0.01353737492642731,0,0.1577398469688052,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Douglas Manor-Douglaston-Little Neck,,,
36081155101,2009,N,Y,2515,0,2515,0.028999999999999998,1807,2.03,2413,34,26,42,117,102,0.04055666003976143,76,0,2515,72.93499999999999,0.016699801192842943,0.9594433399602386,0.010337972166998012,0.013518886679920477,0.046520874751491054,0.030218687872763418,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Glen Oaks-Floral Park-New Hyde Park,,,
36081155102,2009,Y,Y,8175,0.053,8072,0.043,3655,2.97,4507,447,2202,831,0,3668,0.44868501529051985,1278,433.275,7741.725,347.09599999999995,0.10165137614678899,0.5513149847094801,0.2693577981651376,0.05467889908256881,0,0.1563302752293578,N,3,N,1,0.33,0.01,0.01,0.01,0.6699999999999999,2.01,0.99,0.03,0.03,0.03,0.00012232415902140674,0.0008207934336525308,0.0000226360426161229,Queens,Glen Oaks-Floral Park-New Hyde Park,3,3,
36081156700,2009,N,Y,1616,0.07400000000000001,1019,0.40700000000000003,268,3.4,288,525,391,354,0,1328,0.8217821782178217,879,119.58400000000002,1496.416,414.733,0.21905940594059406,0.1782178217821782,0.24195544554455445,0.3248762376237624,0,0.5439356435643564,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Bellerose,,,
36081157101,2009,Y,Y,7930,0.051,7930,0.028999999999999998,2674,3.51,2552,414,3470,1138,0,5378,0.6781841109709962,1552,404.42999999999995,7525.57,229.96999999999997,0.14350567465321565,0.32181588902900377,0.43757881462799497,0.05220680958385877,0,0.1957124842370744,N,2,N,1,1,0.01,0.01,0.01,0,0,2,0.02,0.02,0.02,0.00012610340479192938,0.0007479431563201197,0.000015090695077415266,Queens,Bellerose,1,3,
36081157102,2009,N,Y,2063,0.08900000000000001,2050,0.018000000000000002,492,5.14,707,60,1087,187,0,1356,0.6572952011633544,247,183.60700000000003,1879.393,36.900000000000006,0.09064469219583131,0.3427047988366457,0.5269025690741639,0.029083858458555503,0,0.11972855065438681,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Bellerose,,,
36081157901,2009,Y,Y,5593,0.043,5593,0.1,1887,3.59,2883,0,2180,336,0,2710,0.4845342392276059,336,240.49899999999997,5352.501,559.3000000000001,0.060075093867334166,0.515465760772394,0.38977293044877526,0,0,0.060075093867334166,N,1,N,1,0,0.01,0.01,0.01,1,1,0,0.01,0.01,0.01,0.00017879492222420883,0.0005299417064122947,0.000007545347538707633,Queens,Glen Oaks-Floral Park-New Hyde Park,1,6,
36081157902,2009,N,Y,3857,0.051,3857,0.019,1136,3.91,1218,57,1995,375,0,2639,0.6842105263157895,432,196.707,3660.293,73.283,0.09722582317863625,0.3157894736842105,0.5172413793103449,0.014778325123152709,0,0.11200414830178895,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Glen Oaks-Floral Park-New Hyde Park,,,
36081157903,2009,Y,Y,3939,0.063,3939,0.024,1362,3.53,2374,50,1037,325,0,1565,0.3973089616653973,375,248.157,3690.843,94.536,0.08250825082508251,0.6026910383346027,0.2632647880172633,0.012693577050012693,0,0.09520182787509521,N,1,N,1,1,0.01,0.01,0.01,0,0,1,0.01,0.01,0.01,0.0002538715410002539,0.0007342143906020558,0.000007545347538707633,Queens,Glen Oaks-Floral Park-New Hyde Park,1,2,
36081161700,2009,N,Y,4101,0.051,4090,0,1461,3.38,2377,58,740,891,0,1724,0.4203852718849061,949,209.15099999999998,3891.849,0,0.21726408193123628,0.5796147281150938,0.18044379419653744,0.014142891977566447,0,0.23140697390880274,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Queens,Bellerose,,,
36081162100,2009,Y,Y,6491,0.066,6491,0.033,1881,4.01,1580,497,2822,1412,0,4911,0.756586042212294,1909,428.406,6062.594,214.203,0.217531967339393,0.24341395778770605,0.43475581574487754,0.07656755507625944,0,0.29409952241565246,N,4,N,1,1,0.01,0.01,0.01,0,0,4,0.04,0.04,0.04,0.00015405946695424435,0.002126528442317916,0.000030181390154830533,Queens,Bellerose,4,12,
36081162200,2009,N,Y,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,N,,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,,,,,
36085000300,2009,Y,Y,1422,0.094,1412,0.325,659,3.23,464,213,222,423,0,958,0.6736990154711674,636,133.668,1288.3319999999999,458.90000000000003,0.2974683544303797,0.3263009845288326,0.15611814345991562,0.14978902953586498,0,0.4472573839662447,N,3,N,1,0.67,0.01,0.01,0.01,0.32999999999999996,0.9899999999999999,2.0100000000000002,0.03,0.03,0.03,0.0007032348804500703,0.004552352048558422,0.0000226360426161229,Staten Island,West New Brighton-New Brighton-St. George,1,5,
